EdgeID,Tension,stdError
78,0.000710,0.009752,Normal
79,-0.002696,0.011954,Normal
80,-0.014764,0.016303,Normal
81,-0.003191,0.010329,Normal
82,0.001971,0.009292,Normal
83,0.000316,0.010515,Normal
84,-0.008860,0.009679,Normal
85,0.000726,0.009581,Normal
86,0.010007,0.016206,Normal
87,-0.008249,0.011886,Normal
88,-0.010378,0.009547,Normal
89,-0.011966,0.016565,Normal
90,-0.002890,0.010109,Normal
91,-0.011954,0.011638,Normal
92,-0.002417,0.009674,Normal
93,-0.006177,0.010559,Normal
94,-0.015783,0.010543,Normal
95,0.009718,0.010059,Normal
96,-0.004707,0.010131,Normal
97,0.000912,0.012701,Normal
98,-0.004651,0.016209,Normal
99,0.047079,0.021648,Normal
100,0.000589,0.011101,Normal
101,-0.003579,0.010039,Normal
102,-0.010775,0.011933,Normal
103,0.002099,0.010225,Normal
104,0.015569,0.011107,Normal
105,0.002384,0.010409,Normal
106,-0.003258,0.014569,Normal
107,0.007523,0.012187,Normal
108,0.005798,0.011208,Normal
109,0.006922,0.010756,Normal
110,0.015150,0.010708,Normal
111,0.001458,0.016600,Normal
112,0.009281,0.011091,Normal
113,0.032260,0.012270,Normal
114,0.022794,0.012455,Normal
115,0.013691,0.012717,Normal
116,0.064289,0.024513,Normal
117,0.019759,0.011714,Normal
118,0.029330,0.014157,Normal
119,0.026627,0.017133,Normal
120,0.035172,0.011603,Normal
121,0.018788,0.012746,Normal
122,0.007429,0.011810,Normal
123,0.043729,0.011949,Normal
124,0.080074,0.021658,Normal
125,0.004939,0.014267,Normal
126,0.076288,0.019091,Normal
127,0.034822,0.017331,Normal
128,0.031819,0.014350,Normal
130,0.110212,0.024513,Normal
131,0.029487,0.016165,Normal
132,0.027998,0.021658,Normal
133,0.025090,0.016306,Normal
134,0.098589,0.021216,Normal
135,0.035172,0.021023,Normal
